Row,Column,Value
Genus:sp18,Genus:sp57,0.06259
Genus:sp18,Genus:sp58,0.04609
Genus:sp18,Genus:sp59,0.05125
Genus:sp18,Genus:sp6,0.05752
Genus:sp18,Genus:sp60,0.05348
Genus:sp18,Genus:sp61,0.05396
Genus:sp18,Genus:sp62,0.02611
Genus:sp18,Genus:sp63,0.05159
Genus:sp18,Genus:sp64,0.05092
Genus:sp18,Genus:sp65,0.05001
Genus:sp18,Genus:sp66,0.04592
Genus:sp18,Genus:sp67,0.05734
Genus:sp18,Genus:sp68,0.04724
Genus:sp18,Genus:sp69,0.04989
Genus:sp18,Genus:sp7,0.05929
Genus:sp18,Genus:sp8,0.03368
Genus:sp18,Genus:sp9,0.05293
Genus:sp19,Genus:sp10,0.05267
Genus:sp19,Genus:sp11,0.03931
Genus:sp19,Genus:sp12,0.04849
Genus:sp19,Genus:sp13,0.05136
Genus:sp19,Genus:sp14,0.04344
Genus:sp19,Genus:sp15,0.06852
Genus:sp19,Genus:sp16,0.01359
Genus:sp19,Genus:sp17,0.0507
Genus:sp19,Genus:sp18,0.05842
Genus:sp19,Genus:sp19,0.06446
Genus:sp19,Genus:sp2,0.05208
Genus:sp19,Genus:sp20,0.05654
Genus:sp19,Genus:sp21,0.06378
Genus:sp19,Genus:sp22,0.06832
Genus:sp19,Genus:sp23,0.05823
Genus:sp19,Genus:sp24,0.05935
Genus:sp19,Genus:sp25,0.05942
Genus:sp19,Genus:sp26,0.03531
Genus:sp19,Genus:sp27,0.06351
Genus:sp19,Genus:sp28,0.06336
Genus:sp19,Genus:sp29,0.05867
Genus:sp19,Genus:sp3,0.00566
Genus:sp19,Genus:sp30,0.05821
Genus:sp19,Genus:sp31,0.05876
Genus:sp19,Genus:sp32,0.03628
Genus:sp19,Genus:sp33,0.06204
Genus:sp19,Genus:sp34,0.05977
Genus:sp19,Genus:sp35,0.04724
Genus:sp19,Genus:sp36,0.06394
Genus:sp19,Genus:sp37,0.0644
Genus:sp19,Genus:sp38,0.05238
Genus:sp19,Genus:sp39,0.05782
Genus:sp19,Genus:sp4,0.04755
Genus:sp19,Genus:sp40,0.05592
Genus:sp19,Genus:sp41,0.05702
Genus:sp19,Genus:sp42,0.05561
Genus:sp19,Genus:sp43,0.05845
Genus:sp19,Genus:sp44,0.00206
Genus:sp19,Genus:sp45,0.01603
Genus:sp19,Genus:sp46,0.05503
Genus:sp19,Genus:sp47,0.06286
Genus:sp19,Genus:sp48,0.0613
